"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","failures.Math","paid.Math","absences.Math","G1.Math","G2.Math","G3.Math","failures.Port","paid.Port","absences.Port","G1.Port","G2.Port","G3.Port"
"192","GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",1,4,"no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,"no",0,10,10,10,0,"no",0,11,9,10
"368","MS","M",19,"R","GT3","T",1,1,"other","other","home","other",3,1,"no","yes","no","yes","yes","yes","no",4,4,4,3,3,5,1,"no",4,8,8,8,1,"no",4,8,9,10
"133","GP","F",17,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,3,"no","yes","no","no","yes","yes","yes",4,3,3,1,2,4,0,"yes",4,14,14,14,0,"no",4,15,14,15
"92","GP","F",16,"U","LE3","T",4,4,"teacher","teacher","reputation","mother",1,2,"no","yes","no","yes","yes","yes","no",4,5,2,1,2,3,0,"yes",0,9,9,10,0,"no",0,11,10,11
"188","GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",1,1,"no","no","no","yes","yes","yes","no",3,4,3,1,2,4,0,"no",6,14,13,13,0,"no",2,14,13,14
"202","GP","M",15,"U","GT3","T",4,4,"services","services","reputation","mother",2,2,"no","yes","yes","yes","yes","yes","no",4,3,1,1,1,5,0,"no",0,17,16,17,0,"no",2,15,15,15
"122","GP","F",17,"U","GT3","T",3,2,"other","other","home","mother",1,2,"no","yes","no","yes","yes","yes","yes",4,3,2,2,3,2,0,"yes",0,7,8,0,0,"no",0,12,13,15
"8","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,"yes","yes","no","yes","yes","yes","no",4,1,3,1,3,4,0,"yes",2,8,9,8,0,"no",0,11,10,11
"188.1","GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",1,1,"no","no","no","yes","yes","yes","no",3,4,3,1,2,4,0,"no",6,14,13,13,0,"no",2,14,13,14
"88","GP","F",16,"U","LE3","T",3,1,"other","other","home","father",1,2,"yes","yes","no","yes","yes","no","no",3,3,3,2,3,2,0,"no",4,7,6,6,0,"no",0,12,13,12
"8.1","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,"yes","yes","no","yes","yes","yes","no",4,1,3,1,3,4,0,"yes",2,8,9,8,0,"no",0,11,10,11
